sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,132,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=47.88 | FR=0.03 | MAUT=0.62 | TZ=0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,10,47.88,0.03,0.01,90411,Nürnberg,1,,,,,,,0.62,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,133,dachser,correct,,,,true,STAT=30 | TARIF=49.34 | FR=-0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,30,49.34,-0.01,,85051,Ingolstadt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,134,dachser,correct,,,,true,STAT=30 | TARIF=49.34 | FR=-0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,30,49.34,-0.01,,82194,Gröbenzell,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,135,dachser,correct,,,,true,STAT=30 | TARIF=49.96 | FR=-0.01 | VKG_DL=78 | SERV=DA01 | SACH=612100,30,49.96,-0.01,,65195,Wiesbaden,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,136,dachser,correct,,,,true,STAT=30 | TARIF=56.54 | FR=-0.04 | TZ=-0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,30,56.54,-0.04,-0.01,53937,Schleiden,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,137,dachser,correct,Mautdifferenz // hätte gebündelt werden können?,Mautdifferenz // hätte gebündelt werden können?,Mautdifferenz // hätte gebündelt werden können?,true,STAT=10 | TARIF=81.19 | FR=27.92 | MAUT=-1.02 | TZ=4.89 | VKG_DL=163 | SERV=DA01 | SACH=612100,10,81.19,27.92,4.89,53894,Mechernich,2,,,,,,,-1.02,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,138,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=56.54 | FR=-0.04 | MAUT=-0.55 | TZ=-0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,10,56.54,-0.04,-0.01,53227,Bonn,1,,,,,,,-0.55,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,139,dachser,correct,,,,true,STAT=30 | TARIF=56.54 | FR=-0.04 | TZ=-0.01 | VKG_DL=86 | SERV=DA01 | SACH=612100,30,56.54,-0.04,-0.01,53225,Bonn,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,140,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=57.18 | FR=-0.04 | MAUT=-0.64 | TZ=-0.01 | VKG_DL=77 | SERV=DA01 | SACH=612100,10,57.18,-0.04,-0.01,41836,Hückelhoven,1,,,,,,,-0.64,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,141,dachser,correct,,,,true,STAT=30 | TARIF=57.18 | FR=-0.04 | TZ=-0.01 | VKG_DL=86 | SERV=DA01 | SACH=612100,30,57.18,-0.04,-0.01,32257,Bünde,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,142,dachser,correct,,,,true,STAT=30 | TARIF=74.45 | FR=0.01 | VKG_DL=106 | SERV=DA01 | SACH=612100,30,74.45,0.01,,10179,Berlin,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,143,dachser,correct,,,,true,STAT=30 | TARIF=45.66 | FR=0.02 | TZ=0.01 | VKG_DL=50 | SERV=DA01 | SACH=612100,30,45.66,0.02,0.01,22419,Hamburg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,144,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=67.26 | FR=0.05 | EXP_DL=30 | MAUT=0.18 | TZ=0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,10,67.26,0.05,0.01,74599,Wallhausen,1,,,30,,,,0.18,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,145,dachser,correct,,,,true,STAT=30 | TARIF=67.26 | FR=0.05 | EXP_DL=30 | TZ=0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,30,67.26,0.05,0.01,70174,Stuttgart,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,146,dachser,correct,,,,true,STAT=30 | TARIF=83.4 | FR=-0.04 | EXP_DL=30 | VKG_DL=51 | SERV=DA07 | SACH=612100,30,83.4,-0.04,,95119,Naila,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,147,dachser,correct,,,,true,STAT=30 | TARIF=49.34 | FR=-0.01 | VKG_DL=51 | SERV=DA01 | SACH=612100,30,49.34,-0.01,,81379,München,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,148,dachser,correct,,,,true,STAT=30 | TARIF=58.39 | FR=0.02 | TZ=0.01 | VKG_DL=86 | SERV=DA01 | SACH=612100,30,58.39,0.02,0.01,15366,Neuenhagen bei Berlin,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,149,dachser,correct,,,,true,STAT=30 | TARIF=86.54 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=93 | SERV=DA07 | SACH=612100,30,86.54,-0.04,-0.01,04356,Leipzig,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,150,dachser,correct,,,,true,STAT=30 | TARIF=43.3 | FR=-0.02 | VKG_DL=38 | SERV=DA01 | SACH=612100,30,43.3,-0.02,,38302,Wolfenbüttel,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,151,dachser,correct,,,,true,STAT=30 | TARIF=43.3 | FR=-0.02 | VKG_DL=45 | SERV=DA01 | SACH=612100,30,43.3,-0.02,,32549,Bad Oeynhausen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,152,dachser,correct,,,,true,STAT=30 | TARIF=43.91 | FR=-0.04 | TZ=-0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,30,43.91,-0.04,-0.01,39116,Magdeburg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,153,dachser,correct,,,,true,STAT=30 | TARIF=88.34 | FR=0.03 | EXP_DL=30 | TZ=0.01 | VKG_DL=117 | SERV=DA04 | SACH=612100,30,88.34,0.03,0.01,86983,Lechbruck am See,1,,,30,,,,,,DA04,612100,,,
Soll-Ist-Vergleich best. Beleg,154,dachser,correct,,,,true,STAT=30 | TARIF=104.45 | FR=0.01 | EXP_DL=30 | VKG_DL=107 | SERV=DA07 | SACH=612100,30,104.45,0.01,,10117,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,155,dachser,correct,,,,true,STAT=30 | TARIF=100.89 | EXP_DL=30 | VKG_DL=108 | SERV=DA07 | SACH=612100,30,100.89,,,01067,Dresden,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,156,dachser,correct,,,,true,STAT=30 | TARIF=44.19 | FR=-0.04 | TZ=-0.01 | VKG_DL=41 | SERV=DA01 | SACH=612100,30,44.19,-0.04,-0.01,13125,Berlin,1,,,,,,,,,DA01,612100,,,
